t_ms,magnitude,coherence,score,fraction,peak_2s,gesture
1787849663040,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787849663177,1.4405,0.5481,0.7896,0.5000,0.7896,default
1787849663270,0.2107,0.0000,0.0000,0.3333,0.7896,default
1787849663332,0.3530,0.0000,0.0000,0.2500,0.7896,default
1787849663400,0.2139,0.0000,0.0000,0.2000,0.7896,default
1787849663469,0.1923,0.0000,0.0000,0.1667,0.7896,default
1787849663569,0.2224,0.0000,0.0000,0.1429,0.7896,default
1787849663635,0.2962,0.0000,0.0000,0.1250,0.7896,default
1787849663701,0.2328,0.0000,0.0000,0.1111,0.7896,default
1787849663768,0.1994,0.0000,0.0000,0.1000,0.7896,default
1787849663835,0.1438,0.0000,0.0000,0.0909,0.7896,default
1787849663901,0.1044,0.0000,0.0000,0.0833,0.7896,default
1787849663968,0.1347,0.0000,0.0000,0.0769,0.7896,default
1787849664034,0.1796,0.0000,0.0000,0.0714,0.7896,default
1787849664101,0.2063,0.0000,0.0000,0.0667,0.7896,default
1787849664168,0.2595,0.0000,0.0000,0.0625,0.7896,default
1787849664232,0.2608,0.9131,0.2382,0.0588,0.7896,default
1787849664299,0.3155,0.4785,0.1510,0.0556,0.7896,default
1787849664368,0.2684,0.9476,0.2543,0.0526,0.7896,default
1787849664435,0.1836,0.0000,0.0000,0.0500,0.7896,default
1787849664501,0.1225,0.0000,0.0000,0.0476,0.7896,default
1787849664568,0.1422,0.0000,0.0000,0.0455,0.7896,default
1787849664635,0.1419,0.0000,0.0000,0.0435,0.7896,default
1787849664701,1.3818,0.9997,1.3814,0.0833,1.3814,default
1787849664768,3.3940,1.0000,3.3940,0.1200,3.3940,default
1787849664834,0.5909,0.9986,0.5901,0.1154,3.3940,default
1787849664901,0.3337,0.4599,0.1535,0.1111,3.3940,default
1787849664967,1.3063,0.9952,1.3001,0.1429,3.3940,default
1787849665034,0.3994,0.9538,0.3810,0.1379,3.3940,default
1787849665100,0.2484,0.7223,0.1794,0.1333,3.3940,sideEyeCat
1787849665168,0.3254,0.9381,0.3052,0.1290,3.3940,sideEyeCat
1787849665231,0.3824,0.6103,0.2334,0.1250,3.3940,sideEyeCat
1787849665298,0.2972,0.9935,0.2953,0.1250,3.3940,sideEyeCat
1787849665368,0.3740,0.9715,0.3633,0.1212,3.3940,sideEyeCat
1787849665433,0.2688,0.9770,0.2626,0.0909,3.3940,default
1787849665500,0.4267,0.9996,0.4265,0.0909,3.3940,default
1787849665567,0.2916,0.0000,0.0000,0.0909,3.3940,default
1787849665634,0.5251,0.9034,0.4743,0.0909,3.3940,default
1787849665700,0.4369,0.4444,0.1942,0.0909,3.3940,default
1787849665767,0.5236,0.5241,0.2744,0.0882,3.3940,default
1787849665868,0.5858,0.9379,0.5494,0.0909,3.3940,default
1787849665968,0.7392,0.4671,0.3453,0.0909,3.3940,default
1787849666068,0.3626,0.8898,0.3227,0.0938,3.3940,default
1787849666168,0.4800,0.9943,0.4772,0.0938,3.3940,default
1787849666268,0.4596,0.5753,0.2644,0.0968,3.3940,default
1787849666367,0.2933,0.8596,0.2521,0.0968,3.3940,default
1787849666468,0.1761,0.0000,0.0000,0.1000,3.3940,oneFingerUp
1787849666568,0.2128,0.5222,0.1111,0.1000,3.3940,oneFingerUp
1787849666668,0.2000,0.9953,0.1990,0.1034,3.3940,oneFingerUp
1787849666768,0.1347,0.0000,0.0000,0.1034,3.3940,oneFingerUp
